y, predicted
-1.444102045513238636e-03,-1.692665275186300278e-03
-1.479561423137008619e-03,-1.717949286103248596e-03
-1.493743879292876208e-03,-1.715774182230234146e-03
-1.429921806361620501e-03,-1.706535462290048599e-03
-1.376747891556580079e-03,-1.698321662843227386e-03
-1.493740706264179213e-03,-1.693973317742347717e-03
-1.532731814363823622e-03,-1.726634800434112549e-03
-1.412207494145929429e-03,-1.710969489067792892e-03
-1.557541021429119940e-03,-1.696989871561527252e-03
-1.575277141287938741e-03,-1.708535943180322647e-03
-1.532746269785739733e-03,-1.712030731141567230e-03
-1.663953608484781358e-03,-1.727107912302017212e-03
-1.426350315364650467e-03,-1.708594150841236115e-03
-1.514993623342231199e-03,-1.725681591778993607e-03
-1.468954049061500918e-03,-1.745898276567459106e-03
-1.383790525227874407e-03,-1.734734978526830673e-03
-1.447643923972997699e-03,-1.723628956824541092e-03
-1.639133749943296565e-03,-1.746872439980506897e-03
-1.639182546060616308e-03,-1.720707397907972336e-03
-1.582494376729707154e-03,-1.752734184265136719e-03
-1.564698260488461530e-03,-1.747812144458293915e-03
-1.465359220909269022e-03,-1.750808674842119217e-03
-1.426316003212106318e-03,-1.747597940266132355e-03
-1.539891646998132633e-03,-1.769973896443843842e-03
-1.383722713569630674e-03,-1.764957793056964874e-03
-1.373096299262016725e-03,-1.752500422298908234e-03
-1.575353807717418597e-03,-1.760010141879320145e-03
-1.486655663990223402e-03,-1.764223910868167877e-03
-1.500850221841380956e-03,-1.769380643963813782e-03
-1.412131869559869485e-03,-1.759063918143510818e-03
-1.546975640588643241e-03,-1.739641651511192322e-03
-1.507948018060781227e-03,-1.744669396430253983e-03
-1.461813743036736264e-03,-1.753476914018392563e-03
-1.447619715163345894e-03,-1.733746379613876343e-03
-1.248907259827080913e-03,-1.735283993184566498e-03
-1.454732517769832681e-03,-1.717878971248865128e-03
-1.476013824790709450e-03,-1.776527147740125656e-03
-1.614329969599761876e-03,-1.746343448758125305e-03
-1.766906897646837015e-03,-1.729371026158332825e-03
-1.440512857595004255e-03,-1.755136530846357346e-03
-1.507951551374484478e-03,-1.788454595953226089e-03
-1.380210230845431950e-03,-1.768724992871284485e-03
-1.475974252201792776e-03,-1.772293355315923691e-03
-1.586016685789565315e-03,-1.797335222363471985e-03
-1.880597623329244034e-03,-1.768847927451133728e-03
-1.465381732347523962e-03,-1.773512456566095352e-03
-1.312608995825191019e-03,-1.810889691114425659e-03
-1.476005396449643365e-03,-1.742356922477483749e-03
-1.571876538099680528e-03,-1.815071329474449158e-03
-1.444041535188942283e-03,-1.813718583434820175e-03
-1.380124198780488965e-03,-1.821929123252630234e-03
-1.412099048781202595e-03,-1.816831063479185104e-03
-1.468907474998037846e-03,-1.817401032894849777e-03
-1.312716931319665497e-03,-1.818482298403978348e-03
-1.564724457907881944e-03,-1.770864240825176239e-03
-1.390828814617856447e-03,-1.809228211641311646e-03
-1.635692856748702587e-03,-1.777679659426212311e-03
-1.738677700132723169e-03,-1.754242926836013794e-03
-1.440490124199862200e-03,-1.776822842657566071e-03
-1.422738224467259664e-03,-1.787698827683925629e-03
-1.408542813263316106e-03,-1.778105273842811584e-03
-1.170694049838179925e-03,-1.776549033820629120e-03
-1.578901078671462749e-03,-1.766796223819255829e-03
-1.593113901632369845e-03,-1.800096593797206879e-03
-1.497304617327641345e-03,-1.791439484804868698e-03
-1.444062651836904628e-03,-1.800172496587038040e-03
-1.458262560763076915e-03,-1.804422121495008469e-03
-1.554087794730440097e-03,-1.797981094568967819e-03
-1.696079563200143933e-03,-1.786057371646165848e-03
-1.497311284888803821e-03,-1.779332756996154785e-03
-1.401394904069652074e-03,-1.816140022128820419e-03
-1.564805831218309519e-03,-1.774976495653390884e-03
-1.326856091793984262e-03,-1.768605317920446396e-03
-1.490207149632042337e-03,-1.762029249221086502e-03
-1.593195573004599439e-03,-1.803885679692029953e-03
-1.500825950223095857e-03,-1.756147015839815140e-03
-1.472454036058322988e-03,-1.791204325854778290e-03
-1.344585242805918738e-03,-1.774577423930168152e-03
-1.880771953037768543e-03,-1.748524140566587448e-03
-1.191743855439187467e-03,-1.766708679497241974e-03
-1.582526753827845746e-03,-1.786421984434127808e-03
-1.429835891232541720e-03,-1.755253877490758896e-03
-1.358820938259701870e-03,-1.780041027814149857e-03
-1.490207351664966581e-03,-1.806846819818019867e-03
-1.472456461143442467e-03,-1.808946486562490463e-03
-1.476006810981984668e-03,-1.788943074643611908e-03
-1.483107056068821246e-03,-1.797318924218416214e-03
-1.483107056068821246e-03,-1.782046630978584290e-03
-1.312703598379674069e-03,-1.764565706253051758e-03
-1.302115182367568486e-03,-1.728244591504335403e-03
-1.536320661160617664e-03,-1.756895333528518677e-03
-1.557614047784930877e-03,-1.741989050060510635e-03
-1.337619303858062804e-03,-1.760730054229497910e-03
-1.366041285725969274e-03,-1.726494170725345612e-03
-1.543399521932852609e-03,-1.759918872267007828e-03
-1.543406806943937873e-03,-1.764656975865364075e-03
-1.373135399183400465e-03,-1.776361372321844101e-03
-1.447640143523898316e-03,-1.761164981871843338e-03
-2.252684365853580960e-03,-1.790147274732589722e-03
-1.966167702410674765e-03,-1.760540995746850967e-03
-1.422665971275998906e-03,-1.611773855984210968e-03
-1.749726610159171511e-03,-1.552534755319356918e-03
-1.515118504641373804e-03,-1.627618912607431412e-03
-1.902875209074522071e-03,-1.710708718746900558e-03
-1.162666934431432755e-03,-1.687243115156888962e-03
-2.016771928337267403e-03,-1.726153772324323654e-03
-1.465299184127995605e-03,-1.656666398048400879e-03
-1.258735875893708450e-03,-1.752350479364395142e-03
-1.486666902893976150e-03,-1.726905815303325653e-03
-1.554340099158106397e-03,-1.812163274735212326e-03
-1.646848951234147242e-03,-1.831608824431896210e-03
-1.550776486511806123e-03,-1.854064408689737320e-03
-1.700355385611780536e-03,-1.841975376009941101e-03
-1.568704326025962496e-03,-1.836959272623062134e-03
-1.344067825178819377e-03,-1.876443158835172653e-03
-1.301383761095560197e-03,-1.807844731956720352e-03
-1.565030867584400612e-03,-1.832130365073680878e-03
-1.493794525046844872e-03,-1.859361771494150162e-03
-1.212352043627352906e-03,-1.830434426665306091e-03
-1.479546421886082479e-03,-1.823910046368837357e-03
-1.625531407215727439e-03,-1.851459499448537827e-03
-1.832146328043243386e-03,-1.805576030164957047e-03
-1.426081168546096400e-03,-1.794779207557439804e-03
-1.511616742092323053e-03,-1.807521563023328781e-03
-1.593588400916240259e-03,-1.832336187362670898e-03
-1.618565789373521821e-03,-1.818359829485416412e-03
-1.368969916475099632e-03,-1.836303155869245529e-03
-1.247862206383974987e-03,-1.817118376493453979e-03
-1.593565525135315353e-03,-1.801211852580308914e-03
-1.304908793428874274e-03,-1.780369319021701813e-03
-1.315660479577929849e-03,-1.762356609106063843e-03
-1.689673948003124829e-03,-1.782416831701993942e-03
-1.294269491901658747e-03,-1.825874205678701401e-03
-1.166122411112509392e-03,-1.791766844689846039e-03
-1.536533116061689422e-03,-1.788321882486343384e-03
-1.447474003514658859e-03,-1.808375120162963867e-03
-1.390560280749345966e-03,-1.805442851036787033e-03
-1.262459509623841238e-03,-1.805386971682310104e-03
-1.443977211240867831e-03,-1.797143369913101196e-03
-1.621829265361080744e-03,-1.846571918576955795e-03
-1.668121430204698961e-03,-1.803893595933914185e-03
-1.511581362200591690e-03,-1.813328359276056290e-03
-1.547177900520790373e-03,-1.837143674492835999e-03
-1.458151817783945358e-03,-1.843164209276437759e-03
-1.319393215656880025e-03,-1.810418441891670227e-03
-1.216211830907348813e-03,-1.847845502197742462e-03
-1.401302935969437257e-03,-1.789191737771034241e-03
-1.724958638657461294e-03,-1.833169721066951752e-03
-1.305214948048748517e-03,-1.764936838299036026e-03
-1.657343635488791938e-03,-1.792832743376493454e-03
-1.426181991388592854e-03,-1.706110313534736633e-03
-1.479549645304963903e-03,-1.757883466780185699e-03
-1.689435409603320427e-03,-1.778059639036655426e-03
-1.479548199295839398e-03,-1.764862798154354095e-03
-1.579195503714190835e-03,-1.844092272222042084e-03
-1.372762036925264306e-03,-1.855311915278434753e-03
-1.419049918173989015e-03,-1.849151216447353363e-03
-1.728627903706707932e-03,-1.866159029304981232e-03
-1.248145433449434748e-03,-1.838533207774162292e-03
